Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Location
450373,East Texas Medical Center Mount Vernon,500 S. State Highway 37,,,Mount Vernon,TX,75457,Franklin,903-537-4552,Acute Care,Nonprofit - Other,Yes,"500 S STATE HWY 37
MOUNT VERNON, TX 75457
(33.17657384000046, -95.2334694919997)"
450379,Dallas Medical Center,7 Medical Parkway,,,Dallas,TX,75234,Dallas,972-247-1000,Acute Care,Proprietary,Yes,"7 MEDICAL PARKWAY
DALLAS, TX 75234
(32.915007724000475, -96.8701365609997)"
450388,Methodist Hospital,7700 Floyd Curl Drive,,,San Antonio,TX,78229,Bexar,210-575-4000,Acute Care,Proprietary,Yes,"7700 FLOYD CURL DR
SAN ANTONIO, TX 78229
(29.508905215000482, -98.57381969799968)"
450389,East Texas Medical Center Athens,2000 S. Palestine,,,Athens,TX,75751,Henderson,903-676-1000,Acute Care,Nonprofit - Church,Yes,"2000 SOUTH PALESTINE
ATHENS, TX 75751
(32.170739383000466, -95.84364004699967)"
450395,Memorial Medical Center Livingston,1717 Highway 59 Bypass,,,Livingston,TX,77351,Polk,936-327-4381,Acute Care,Nonprofit - Church,Yes,"1717 HWY 59 BYPASS
LIVINGSTON, TX 77351
(30.730405473000474, -94.9377741079997)"
450399,Brownfield Regional Medical Center,705 E. Felt St.,,,Brownfield,TX,79316,Terry,806-637-3551,Acute Care,Government - Hospital District or Authority,Yes,"705 EAST FELT STREET
BROWNFIELD, TX 79316
(33.18710909200047, -102.26764383899967)"
450400,Parkview Regional Hospital,600 S. Bonham St.,,,Mexia,TX,76667,Limestone,254-562-5332,Acute Care,Proprietary,Yes,"600 SOUTH BONHAM STREET
MEXIA, TX 76667
(31.675868382000488, -96.48009801599966)"
450403,Medical Center Of Mckinney,4500 Medical Center Drive,,,Mckinney,TX,75069,Collin,972-547-8000,Acute Care,Proprietary,Yes,"4500 MEDICAL CENTER DRIVE
MCKINNEY, TX 75069
(33.16164324900046, -96.6355275309997)"
450411,Eastland Memorial Hospital,304 S. Daugherty,,,Eastland,TX,76448,Eastland,254-629-2601,Acute Care,Government - Hospital District or Authority,Yes,"304 S DAUGHERTY
EASTLAND, TX 76448
(32.40017699600048, -98.82156238499965)"
450419,Texas Health Harris Methodist Hospital Azle,108 Denver Trail,,,Azle,TX,76020,Tarrant,817-444-8700,Acute Care,Nonprofit - Church,Yes,"108 DENVER TRAIL
AZLE, TX 76020
(32.88116677400046, -97.53374465599967)"
450422,Baylor Medical Center At Uptown,2727 E. Lemmon Ave. Building I,,,Dallas,TX,75204,Dallas,214-443-3000,Acute Care,Nonprofit - Church,Yes,"2727 EAST LEMMON AVENUE BUILDING I
DALLAS, TX 75204
(32.80375231500045, -96.79415059699966)"
450424,San Jacinto Methodist Hospital,4401 Garth Road,,,Baytown,TX,77521,Harris,281-420-8600,Acute Care,Nonprofit - Church,Yes,"4401 GARTH ROAD
BAYTOWN, TX 77521
(29.76918987500045, -94.97760168799965)"
450431,St David's Medical Center,919 E. 32nd St.,,,Austin,TX,78705,Travis,512-476-7111,Acute Care,Nonprofit - Church,Yes,"919 E 32ND ST
AUSTIN, TX 78705
(30.290795555000443, -97.72667312899966)"
450447,Navarro Regional Hospital,3201 W. Highway 22,,,Corsicana,TX,75110,Navarro,903-654-6800,Acute Care,Proprietary,Yes,"3201 WEST HIGHWAY 22
CORSICANA, TX 75110
(32.08492169900046, -96.50253531399966)"
450451,Glen Rose Medical Center,1021 Holden St.,,,Glen Rose,TX,76043,Somervell,254-897-2215,Acute Care,Government - Hospital District or Authority,Yes,"1021 HOLDEN STREET
GLEN ROSE, TX 76043
(32.241272730000446, -97.74732198399965)"
450460,Tyler County Hospital,1100 W. Bluff,,,Woodville,TX,75979,Tyler,409-283-8141,Acute Care,Government - Hospital District or Authority,Yes,"1100 WEST BLUFF
WOODVILLE, TX 75979
(30.77530155800048, -94.4278455759997)"
450462,Texas Health Presbyterian Hospital  Dallas,8200 Walnut Hill Lane,,,Dallas,TX,75231,Dallas,214-345-6789,Acute Care,Nonprofit - Church,Yes,"8200 WALNUT HILL LANE
DALLAS, TX 75231
(32.88317316400048, -96.76334545699967)"
450465,Matagorda Regional Medical Center,104 7th St.,,,Bay City,TX,77414,Matagorda,979-245-6383,Acute Care,Government - Hospital District or Authority,Yes,"104 7TH STREET
BAY CITY, TX 77414
(28.982807127000456, -95.99135590199967)"
450469,Texas Health Presbyterian Hospital-WNJ,500 N. Highland Ave.,,,Sherman,TX,75091,Grayson,903-870-4611,Acute Care,Nonprofit - Other,Yes,"500 N HIGHLAND AVENUE
SHERMAN, TX 75091
(33.63807317900046, -96.62358275999969)"
450475,Etmc Henderson,300 Wilson St.,,,Henderson,TX,75652,Rusk,903-657-7541,Acute Care,Nonprofit - Church,Yes,"300 WILSON STREET
HENDERSON, TX 75652
(32.16161490200045, -94.7963275249997)"
450484,Woodland Heights Medical Center,505 S. John Redditt Drive,,,Lufkin,TX,75904,Angelina,936-634-8311,Acute Care,Proprietary,Yes,"505 SOUTH JOHN REDDITT DRIVE
LUFKIN, TX 75904
(31.327920699000458, -94.75614351799965)"
450488,Allegiance Specialty Hospital Of Kilgore,1612 S. Henderson Blvd.,,,Kilgore,TX,75662,Gregg,903-984-3505,Acute Care,Proprietary,No,"1612 SOUTH HENDERSON BLVD
KILGORE, TX 75662
(32.37452966300049, -94.86916780799964)"
450489,Medical Arts Hospital,2200 N. Bryan Ave.,,,Lamesa,TX,79331,Dawson,806-872-2183,Acute Care,Government - Hospital District or Authority,Yes,"2200 N BRYAN AVE
LAMESA, TX 79331
(32.73021189400049, -101.96040809699969)"
450497,Bowie Memorial Hospital,705 East Greenwood Ave.,,,Bowie,TX,76230,Montague,940-872-1126,Acute Care,Government - Hospital District or Authority,Yes,"705 EAST GREENWOOD AV
BOWIE, TX 76230
(33.56184312500045, -97.83515076799966)"
450498,Stephens Memorial Hospital,200 S. Geneva,,,Breckenridge,TX,76424,Stephens,254-559-2241,Acute Care,Government - Local,Yes,"200 SOUTH GENEVA
BRECKENRIDGE, TX 76424
(32.75459321800048, -98.8876965229997)"
450508,Memorial Hospital,1204 Mound St.,,,Nacogdoches,TX,75961,Nacogdoches,936-564-4611,Acute Care,Government - Hospital District or Authority,Yes,"1204 MOUND ST
NACOGDOCHES, TX 75961
(31.613900249000437, -94.6494220409997)"
450518,The Medical Center Of Southeast Texas,2555 Jimmy Johnson Blvd.,,,Port Arthur,TX,77640,Jefferson,409-853-5900,Acute Care,Proprietary,Yes,"2555 JIMMY JOHNSON BLVD
PORT ARTHUR, TX 77640
(29.93363685200046, -93.98927823799966)"
450537,Methodist Richardson Medical Center,401 W. Campbell Road,,,Richardson,TX,75080,Dallas,972-498-4000,Acute Care,Government - Hospital District or Authority,Yes,"401 W CAMPBELL RD
RICHARDSON, TX 75080
(32.975322597000456, -96.72739033699969)"
450539,Covenant Hospital Plainview,2601 Dimmit Road,,,Plainview,TX,79072,Hale,806-296-5531,Acute Care,Nonprofit - Church,Yes,"2601 DIMMITT RD
PLAINVIEW, TX 79072
(34.20771732500049, -101.73222900499968)"
450558,Abilene Regional Medical Center,6250 Highway 83/84,,,Abilene,TX,79606,Taylor,325-428-1000,Acute Care,Proprietary,Yes,"6250 HWY 83/84
ABILENE, TX 79606
(32.39045117900048, -99.78593759799969)"
450563,Baylor Regional Medical Center At Grapevine,1650 W. College St.,,,Grapevine,TX,76051,Tarrant,817-481-1588,Acute Care,Nonprofit - Church,Yes,"1650 W COLLEGE ST
GRAPEVINE, TX 76051
(32.935572627000454, -97.09306020599968)"
450565,Palo Pinto General Hospital,400 SW. 25th Ave.,,,Mineral Wells,TX,76067,Palo Pinto,940-325-7891,Acute Care,Government - Hospital District or Authority,Yes,"400 SOUTHWEST 25 AVE
MINERAL WELLS, TX 76067
(32.79953394500046, -98.14558180799969)"
450571,Shannon Medical Center,120 E. Harris Ave.,,,San Angelo,TX,76903,Tom Green,325-653-6741,Acute Care,Nonprofit - Church,Yes,"120 EAST HARRIS AVENUE
SAN ANGELO, TX 76903
(31.464676898000448, -100.43456857099966)"
450573,Christus Jasper Memorial Hospital,1275 Marvin Hancock Drive,,,Jasper,TX,75951,Jasper,409-384-5461,Acute Care,Government - Hospital District or Authority,Yes,"1275 MARVIN HANCOCK DRIVE
JASPER, TX 75951
(30.908100824000485, -94.00847214299966)"
450578,Hemphill County Hospital,1020 S. 4th St.,,,Canadian,TX,79014,Hemphill,806-323-6622,Acute Care,Government - Hospital District or Authority,Yes,"1020 S 4TH ST
CANADIAN, TX 79014
(35.905193006000445, -100.38741821999969)"
450580,East Texas Medical Center Crockett,1100 Loop 304 East,,,Crockett,TX,75835,Houston,936-546-3862,Acute Care,Nonprofit - Church,Yes,"1100 LOOP 304 EAST
CROCKETT, TX 75835
(31.312390140000446, -95.4732285239997)"
450584,Wilbarger General Hospital,920 Hillcrest Drive,,,Vernon,TX,76384,Wilbarger,940-552-9351,Acute Care,Government - Hospital District or Authority,Yes,"920 HILLCREST DR
VERNON, TX 76384
(34.16101687900044, -99.31391189899966)"
450586,Seymour Hospital,200 Stadium Drive,,,Seymour,TX,76380,Baylor,940-889-5572,Acute Care,Government - Hospital District or Authority,Yes,"200 STADIUM DRIVE
SEYMOUR, TX 76380
(33.58938580200049, -99.24752348999965)"
450587,Brownwood Regional Medical Center,1501 Burnet Drive,,,Brownwood,TX,76801,Brown,325-646-8541,Acute Care,Proprietary,Yes,"1501 BURNET DR
BROWNWOOD, TX 76801
(31.677058114000488, -98.9923817459997)"
450591,Angleton-Danbury Medical Center,132 Hospital Drive,,,Angleton,TX,77515,Brazoria,979-849-7721,Acute Care,Government - Hospital District or Authority,Yes,"132 HOSPITAL DR
ANGLETON, TX 77515
(29.185163443000476, -95.40372026899968)"
450596,Lake Granbury Medical Center,1310 Paluxy Road,,,Granbury,TX,76048,Hood,817-573-2683,Acute Care,Proprietary,Yes,"1310 PALUXY RD
GRANBURY, TX 76048
(32.431553060000454, -97.80308886499967)"
450597,Cuero Community Hospital,2550 N. Esplanade,,,Cuero,TX,77954,De Witt,361-275-6191,Acute Care,Government - Hospital District or Authority,Yes,"2550 N ESPLANADE
CUERO, TX 77954
(29.113191286000472, -97.28150941999968)"
450604,Hill Country Memorial Hospital Inc,1020 S. State Highway 16,,,Fredericksburg,TX,78624,Gillespie,830-997-4353,Acute Care,Nonprofit - Church,Yes,"1020 SOUTH STATE HIGHWAY 16
FREDERICKSBURG, TX 78624
(30.26237446300047, -98.88031646699966)"
450605,Care Regional Medical Center,1711 W. Wheeler Ave.,,,Aransas Pass,TX,78336,San Patricio,361-758-8585,Acute Care,Proprietary,Yes,"1711 W WHEELER AVENUE
ARANSAS PASS, TX 78336
(27.91595230000047, -97.16199247699967)"
45060F,Va Amarillo Healthcare System,6010 Amarillo Blvd. West,,,Amarillo,TX,79106,Potter,806-355-9703,Acute Care - Veterans Administration,Government Federal,No,"6010 AMARILLO BLVD. WEST
AMARILLO, TX 79106
(35.20360463500049, -101.9047359269997)"
450610,Memorial Hermann Memorial City Medical Center,921 Gessner,,,Houston,TX,77024,Harris,713-242-3000,Acute Care,Nonprofit - Church,Yes,"921 GESSNER
HOUSTON, TX 77024
(29.780033701000434, -95.54460080099966)"
450617,Clear Lake Regional Medical Center,500 Medical Center Blvd.,,,Webster,TX,77598,Harris,281-332-2511,Acute Care,Proprietary,Yes,"500 MEDICAL CENTER BLVD
WEBSTER, TX 77598
(29.54037260800044, -95.12728855299969)"
450620,Dimmit Regional Hospital,704 Hospital Drive,,,Carrizo Springs,TX,78834,Dimmit,830-876-2424,Acute Care,Government - Hospital District or Authority,Yes,"704 HOSPITAL DRIVE
CARRIZO SPRINGS, TX 78834
(28.519649485000457, -99.86260120299966)"
450634,Denton Regional Medical Center,3535 S. Interstate 35 East,,,Denton,TX,76210,Denton,940-384-3535,Acute Care,Proprietary,Yes,"3535 SOUTH I35 EAST
DENTON, TX 76210
(33.15170048800047, -97.0955362629997)"
450638,Houston Northwest Medical Center,710 FM 1960 West,,,Houston,TX,77090,Harris,281-440-1000,Acute Care,Proprietary,Yes,"710 FM 1960 WEST
HOUSTON, TX 77090
(30.018112533000476, -95.43963368899966)"
450639,Texas Health Harris Methodist Hurst-Euless-Bedford,1600 Hospital Parkway,,,Bedford,TX,76022,Tarrant,817-848-4000,Acute Care,Nonprofit - Church,Yes,"1600 HOSPITAL PARKWAY
BEDFORD, TX 76022
(32.83286399500048, -97.12518524299969)"
45063F,Va West Texas Healthcare System,300 Veterans Blvd.,,,Big Spring,TX,79720,Howard,432-263-7361,Acute Care - Veterans Administration,Government Federal,No,"300 VETERANS BLVD.
BIG SPRING, TX 79720
(32.23184502400045, -101.47114698999968)"
450641,Nocona General Hospital,100 Park Road,,,Nocona,TX,76255,Montague,940-825-3235,Acute Care,Government - Hospital District or Authority,Yes,"100 PARK ROAD
NOCONA, TX 76255
(33.77666907900044, -97.73160329699965)"
450643,Doctors Hospital Of Laredo,10700 McPherson Road,,,Laredo,TX,78041,Webb,956-523-2000,Acute Care,Proprietary,Yes,"10700 MCPHERSON ROAD
LAREDO, TX 78041
(27.608707212000468, -99.47676853899969)"
450644,West Houston Medical Center,12141 Richmond Ave.,,,Houston,TX,77082,Harris,281-588-8080,Acute Care,Proprietary,Yes,"12141 RICHMOND AVE
HOUSTON, TX 77082
(29.73056272600047, -95.5932092169997)"
450647,Medical City Dallas Hospital,7777 Forest Lane,,,Dallas,TX,75230,Dallas,972-566-6222,Acute Care,Proprietary,Yes,"7777 FOREST LANE
DALLAS, TX 75230
(32.90947736500044, -96.77213011799967)"
450651,Medical Center Of Plano,3901 W. 15th St.,,,Plano,TX,75075,Collin,972-596-6800,Acute Care,Proprietary,Yes,"3901 W 15TH ST
PLANO, TX 75075
(33.019377894000456, -96.7657237519997)"
450653,Scenic Mountain Medical Center,1601 W. 11th Place,,,Big Spring,TX,79720,Howard,432-263-1211,Acute Care,Proprietary,Yes,"1601 W 11TH PLACE
BIG SPRING, TX 79720
(32.23982321000045, -101.49303512499966)"
450654,Starr County Memorial Hospital,128  N. FM 3167,,,Rio Grande City,TX,78582,Starr,956-487-5561,Acute Care,Government - Hospital District or Authority,Yes,"128 N FM RD 3167
RIO GRANDE CITY, TX 78582
(26.376012012000444, -98.79654943099968)"
450656,Nacogdoches Medical Center,4920 N.E. Stallings Drive,,,Nacogdoches,TX,75961,Nacogdoches,936-569-9481,Acute Care,Nonprofit - Other,Yes,"4920 NE STALLINGS DRIVE
NACOGDOCHES, TX 75961
(31.583861306000472, -94.62222909499968)"
450658,East Texas Medical Center - Fairfield,125 Newman St.,,,Fairfield,TX,75840,Freestone,903-389-1612,Acute Care,Nonprofit - Church,Yes,"125 NEWMAN ST
FAIRFIELD, TX 75840
(31.725601140000435, -96.1696530589997)"
450659,Park Plaza Hospital,1313 Hermann Drive,,,Houston,TX,77004,Harris,713-527-5019,Acute Care,Proprietary,Yes,"1313 HERMANN DR
HOUSTON, TX 77004
(29.72244478300047, -95.38809553799967)"
450661,Odessa Regional Hospital,520 E. 6th St.,,,Odessa,TX,79761,Ector,432-582-8340,Acute Care,Proprietary,Yes,"520 E 6TH STREET
ODESSA, TX 79761
(31.85123502200048, -102.36636533099966)"
450662,Valley Regional Medical Center,100 E. Alton Gloor Blvd.,,,Brownsville,TX,78526,Cameron,956-350-7000,Acute Care,Proprietary,Yes,"100 A ALTON GLOOR
BROWNSVILLE, TX 78526
(25.969992973000444, -97.47837904299968)"
450668,Sierra Medical Center,1625 Medical Center Drive,,,El Paso,TX,79902,El Paso,915-747-4000,Acute Care,Proprietary,Yes,"1625 MEDICAL CENTER DR
EL PASO, TX 79902
(31.778121413000463, -106.47969310699966)"
450669,Medical Center Of Lewisville,500 W. Main St.,,,Lewisville,TX,75057,Denton,972-420-1000,Acute Care,Nonprofit - Church,Yes,"500 WEST MAIN STREET
LEWISVILLE, TX 75057
(33.04625333100046, -97.00475062899966)"
45066F,Dallas Va Medical Center - Va North Texas,4500 S. Lancaster Road,,,Dallas,TX,75216,Dallas,214-742-8387,Acute Care - Veterans Administration,Government Federal,No,"4500 S. LANCASTER ROAD
DALLAS, TX 75216
(32.69410704800049, -96.79289965699968)"
450670,Tomball Regional Medical Center,605 Holderrieth,,,Tomball,TX,77375,Harris,281-351-1623,Acute Care,Government - Hospital District or Authority,Yes,"605 HOLDERRIETH
TOMBALL, TX 77375
(30.089252889000477, -95.62389203199967)"
450672,Plaza Medical Center Of Fort Worth,900 Eighth Ave.,,,Fort Worth,TX,76104,Tarrant,817-336-2100,Acute Care,Proprietary,Yes,"900 EIGHTH AVENUE
FORT WORTH, TX 76104
(32.734543422000456, -97.34374819899966)"
450674,"Womans Hospital Of Texas,The",7600 Fannin,,,Houston,TX,77054,Harris,713-790-1234,Acute Care,Proprietary,Yes,"7600 FANNIN
HOUSTON, TX 77054
(29.692731500000434, -95.40136210899965)"
450675,Medical Center Of Arlington,3301 Matlock Road,,,Arlington,TX,76015,Tarrant,817-465-3241,Acute Care,Proprietary,Yes,"3301 MATLOCK ROAD
ARLINGTON, TX 76015
(32.69195030800046, -97.11475069399967)"
450677,Huguley Memorial Medical Center,11801 South Freeway,,,Burleson,TX,76028,Johnson,817-293-9110,Acute Care,Nonprofit - Church,Yes,"11801 SOUTH FREEWAY
BURLESON, TX 76028
(32.55265003000045, -97.31902708199965)"
450678,Doctors Hospital,9440 Poppy Drive,,,Dallas,TX,75218,Dallas,214-324-6100,Acute Care,Proprietary,Yes,"9440 POPPY DR
DALLAS, TX 75218
(32.835283932000436, -96.70554271799966)"
450684,Memorial Hermann Northeast,18951 Memorial North,,,Humble,TX,77338,Harris,281-540-7700,Acute Care,Government - Hospital District or Authority,Yes,"18951 MEMORIAL NORTH
HUMBLE, TX 77338
(29.995915451000485, -95.27491099799965)"
450686,University Medical Center,602 Indiana Ave.,,,Lubbock,TX,79415,Lubbock,806-775-8200,Acute Care,Government - Hospital District or Authority,Yes,"602 INDIANA AVENUE
LUBBOCK, TX 79415
(33.60700019400048, -101.88780712299967)"
450688,Dallas Regional Medical Center,1011 N. Galloway Ave.,,,Mesquite,TX,75149,Dallas,214-320-7000,Acute Care,Proprietary,Yes,"1011 NORTH GALLOWAY AVENUE
MESQUITE, TX 75149
(32.778641914000445, -96.60007104699969)"
450690,University Of Texas Health Science Center At Tyler,11937 U.S. Highway 271,,,Tyler,TX,75708,Smith,903-877-7777,Acute Care,Government - State,Yes,"11937 US HIGHWAY 271
TYLER, TX 75708
(32.424286708000466, -95.20790183699967)"
450694,El Campo Memorial Hospital,303 Sandy Corner Road,,,El Campo,TX,77437,Wharton,979-578-5251,Acute Care,Nonprofit - Other,Yes,"303 SANDY CORNER RD
EL CAMPO, TX 77437
(29.219498442000486, -96.28969005299967)"
450697,Southwest General Hospital,7400 Barlite Blvd.,,,San Antonio,TX,78224,Bexar,210-921-2000,Acute Care,Nonprofit - Church,Yes,"7400 BARLITE BLVD
SAN ANTONIO, TX 78224
(29.35410762300046, -98.54647878799966)"
450698,Lamb Healthcare Center,1500 S. Sunset,,,Littlefield,TX,79339,Lamb,806-385-6411,Acute Care,Government - Local,Yes,"1500 S SUNSET
LITTLEFIELD, TX 79339
(33.91241132200048, -102.3454165069997)"
450702,Longview Regional Medical Center,2901 N. Fourth St.,,,Longview,TX,75605,Gregg,903-758-1818,Acute Care,Proprietary,Yes,"2901 N FOURTH ST
LONGVIEW, TX 75605
(32.53252516000049, -94.72880224799968)"
450709,Christus St John Hospital,18300 St. John Drive,,,Nassau Bay,TX,77058,Harris,281-333-5503,Acute Care,Nonprofit - Church,Yes,"18300 ST JOHN DRIVE
NASSAU BAY, TX 77058
(29.54885890300045, -95.0848286539997)"
450711,Rio Grande Regional Hospital,101 E. Ridge Road,,,Mcallen,TX,78503,Hidalgo,956-632-6000,Acute Care,Proprietary,Yes,"101 E RIDGE RD
MCALLEN, TX 78503
(26.18562728100045, -98.22161656499969)"
450713,St David's South Austin Medical Center,901 W. Ben White Blvd.,,,Austin,TX,78704,Travis,512-448-7107,Acute Care,Proprietary,Yes,"901 WEST BEN WHITE BLVD
AUSTIN, TX 78704
(30.22727330100048, -97.77426033599966)"
450716,Cypress Fairbanks Medical Center,10655 Steepletop Drive,,,Houston,TX,77065,Harris,281-897-3100,Acute Care,Proprietary,Yes,"10655 STEEPLETOP DRIVE
HOUSTON, TX 77065
(29.926338520000456, -95.58865042499968)"
450718,Round Rock Medical Center,2400 Round Rock Ave.,,,Round Rock,TX,78681,Williamson,512-341-1000,Acute Care,Nonprofit - Other,Yes,"2400 ROUND ROCK AVE
ROUND ROCK, TX 78681
(30.50899577500047, -97.71340181999966)"
450723,Methodist Charlton Medical Center,3500 W. Wheatland Road,,,Dallas,TX,75237,Dallas,214-947-7777,Acute Care,Nonprofit - Church,Yes,"3500 W WHEATLAND ROAD
DALLAS, TX 75237
(32.647453157000484, -96.87646012399966)"
450730,Baylor Medical Center At Carrollton,4343 N. Josey Lane,,,Carrollton,TX,75010,Denton,972-492-1010,Acute Care,Proprietary,Yes,"4343 NORTH JOSEY LANE
CARROLLTON, TX 75010
(33.028234909000446, -96.88446791599966)"
450742,Lake Pointe Medical Center,6800 Scenic Drive,,,Rowlett,TX,75088,Dallas,972-412-2273,Acute Care,Proprietary,Yes,"6800 SCENIC DR
ROWLETT, TX 75088
(32.918890218000456, -96.50943765799968)"
450743,Texas Health Presbyterian Hospital Denton,3000 N. Interstate 35,,,Denton,TX,76201,Denton,940-898-7000,Acute Care,Nonprofit - Church,Yes,"3000 N I-35
DENTON, TX 76201
(33.217893227000445, -97.16948186399969)"
450746,Knox County Hospital,701 S.E. 5th St.,,,Knox City,TX,79529,Knox,940-657-3535,Acute Care,Government - Hospital District or Authority,Yes,"701 SE 5TH STREET
KNOX CITY, TX 79529
(33.41407539700049, -99.81160927499968)"
450747,Palestine Regional Medical Center,2900 S. Loop 256,,,Palestine,TX,75801,Anderson,903-731-1000,Acute Care,Proprietary,Yes,"2900 S LOOP 256
PALESTINE, TX 75801
(31.73398439100049, -95.62748129199969)"
450749,East Texas Medical Center Trinity,317 Prospect Drive/P.O. Box 3169,,,Trinity,TX,75862,Trinity,936-594-3541,Acute Care,Nonprofit - Church,Yes,"317 PROSPECT DR/PO BOX 3169
TRINITY, TX 75862
(30.95178067800049, -95.37623144299965)"
45074F,Houston Va Medical Center,2002 Holcombe Blvd.,,,Houston,TX,77030,Harris,713-794-7100,Acute Care - Veterans Administration,Government Federal,No,"2002 HOLCOMBE BLVD.
HOUSTON, TX 77030
(29.706022489000475, -95.38992508699965)"
450754,Hamilton General Hospital,400 N. Brown,,,Hamilton,TX,76531,Hamilton,254-386-3151,Acute Care,Government - Hospital District or Authority,Yes,"400 N BROWN
HAMILTON, TX 76531
(31.703941124000437, -98.11337378999968)"
450755,Covenant Hospital Levelland,1900 College Ave.,,,Levelland,TX,79336,Hockley,806-894-4963,Acute Care,Nonprofit - Church,Yes,"1900 COLLEGE AVE
LEVELLAND, TX 79336
(33.572750622000456, -102.36779383399966)"
450766,UT Southwestern University Hospital-Zale Lipshy,5151 Harry Hines Blvd.,,,Dallas,TX,75390,Dallas,214-879-3758,Acute Care,Government - State,No,"5151 HARRY HINES BLVD
DALLAS, TX 75390
(32.81095249100048, -96.83628504399968)"
450771,Texas Health Presbyterian Hospital Plano,6200 W. Parker Road,,,Plano,TX,75093,Collin,972-981-8000,Acute Care,Nonprofit - Church,No,"6200 W PARKER RD
PLANO, TX 75093
(33.04512340500048, -96.83633943499967)"
450774,Tops Surgical Specialty Hospital,17080 Red Oak Drive,,,Houston,TX,77090,Harris,281-539-2900,Acute Care,Physician,Yes,"17080 RED OAK DRIVE
HOUSTON, TX 77090
(30.018312139000443, -95.44462547999967)"
450775,Kingwood Medical Center,22999 U.S. Highway 59,,,Kingwood,TX,77325,Harris,281-359-7500,Acute Care,Proprietary,Yes,"22999 US HWY 59
KINGWOOD, TX 77325
(30.055671165000433, -95.18761827699967)"
450779,Texas Health Harris Methodist Hospital Southwest F,6100 Harris Parkway,,,Fort Worth,TX,76132,Tarrant,817-433-5000,Acute Care,Nonprofit - Church,Yes,"6100 HARRIS PKWY
FORT WORTH, TX 76132
(32.65890521300048, -97.41982814399967)"
450780,Methodist Ambulatory Surgery Hospital Nw,"9150 Huebner Road, Suite 100",,,San Antonio,TX,78240,Bexar,210-575-5000,Acute Care,Proprietary,Yes,"9150 HUEBNER RD SUITE 100
SAN ANTONIO, TX 78240
(29.52768995000048, -98.59586985099969)"
450788,"Corpus Christi Medical Center,The",7101 S. Padre Island Drive,,,Corpus Christi,TX,78412,Nueces,361-761-1501,Acute Care,Proprietary,Yes,"7101 S PADRE ISLAND DR
CORPUS CHRISTI, TX 78412
(27.694355421000466, -97.3441526639997)"
450795,St Anthony's Hospital,2807 Little York Road,,,Houston,TX,77093,Harris,713-697-2961,Acute Care,Proprietary,Yes,"2807 LITTLE YORK RD
HOUSTON, TX 77093
(29.87107752300045, -95.34254077699967)"
450796,Northwest Texas Surgery Center,"3501 Soncy Road, Suite 118",,,Amarillo,TX,79109,Randall,806-359-7999,Acute Care,Proprietary,Yes,"3501 SONCY RD SUITE 118
AMARILLO, TX 79109
(35.17352940000046, -101.93812557999968)"
450797,Houston Hospital For Specialized Surgery,5445 La Branch St.,,,Houston,TX,77004,Harris,713-528-6800,Acute Care,Proprietary,No,"5445 LABRANCH STREET
HOUSTON, TX 77004
(29.72438247700046, -95.3843575409997)"
450801,Christus St Michael Health System,2600 St. Michael Drive,,,Texarkana,TX,75504,Bowie,903-614-1000,Acute Care,Nonprofit - Church,Yes,"2600 ST MICHAEL DR
TEXARKANA, TX 75504
(33.46222460900049, -94.07552250399965)"
450803,Doctors Hospital Tidwell,510 W. Tidwell,,,Houston,TX,77091,Harris,713-691-1111,Acute Care,Physician,Yes,"510 W TIDWELL
HOUSTON, TX 77091
(29.847248387000434, -95.40785030499967)"
450804,Texas Orthopedic Hospital,7401 S. Main St.,,,Houston,TX,77030,Harris,713-799-8600,Acute Care,Nonprofit - Other,Yes,"7401 SOUTH MAIN STREET
HOUSTON, TX 77030
(29.700561632000472, -95.4095072939997)"
450808,Northwest Hills Surgical Hospital,"6818 Austin Center Blvd., Suite 100",,,Austin,TX,78731,Travis,512-346-1994,Acute Care,Proprietary,Yes,"6818 AUSTIN CTR BLVD SUITE 100
AUSTIN, TX 78731
(30.350770501000454, -97.75121054199968)"
450809,North Austin Medical Center,12221 Mopac Expressway North,,,Austin,TX,78758,Travis,512-901-1000,Acute Care,Nonprofit - Other,Yes,"12221 MOPAC EXPRESSWAY NORTH
AUSTIN, TX 78758
(30.383593075000476, -97.70797782299968)"
450820,Methodist Sugar Land Hospital,16655 Southwest Freeway,,,Sugar Land,TX,77479,Fort Bend,281-274-8000,Acute Care,Nonprofit - Church,Yes,"16655 SOUTHWEST FREEWAY
SUGAR LAND, TX 77479
(29.59109397700047, -95.63091458599968)"
450822,Las Colinas Medical Center,6800 N. MacArthur Blvd.,,,Irving,TX,75039,Dallas,972-969-2000,Acute Care,Nonprofit - Church,Yes,"6800 N MACARTHUR BLVD
IRVING, TX 75039
(32.90203014800045, -96.95863801199965)"
450825,Cornerstone Regional Hospital,2302 Cornerstone Blvd.,,,Edinburg,TX,78539,Hidalgo,956-618-4444,Acute Care,Proprietary,Yes,"2302 CORNERSTONE BOULEVARD
EDINBURG, TX 78539
(26.263135043000432, -98.19896117799965)"
